category,prizeAmount,prizeAmountAdjusted2019,award_year,name,gender,birth_date,birth_continent,birth_country,death_date,death_continent,death_country
Literature,208629,2697789,1957,Albert Camus,male,1913-11-07,Africa,Algeria,1960-01-04,Europe,France
Literature,400000,3177966,1970,Alexandr Solzhenitsyn,male,1918-12-11,Europe,Russia,2008-08-03,Europe,Russia
Literature,8000000,8365867,2013,Alice Munro,female,1931-07-10,North America,Canada,,,
Literature,121573,2532771,1921,Anatole France,male,1844-04-16,Europe,France,1924-10-12,Europe,France
Literature,146115,2914528,1947,André Gide,male,1869-11-22,Europe,France,1951-02-19,Europe,France
Literature,164304,3050198,1950,Bertrand Russell,male,1872-05-18,Europe,United Kingdom,1970-02-02,Europe,United Kingdom
Literature,141358,7795478,1903,Bjørnstjerne Bjørnson,male,1832-12-08,Europe,Norway,1910-04-26,Europe,France
Literature,8000000,8301051,2016,Bob Dylan,male,1941-05-24,North America,USA,,,
Literature,3000000,5242311,1989,Camilo José Cela,male,1916-05-11,Europe,Spain,2002-01-17,Europe,Spain
Literature,133127,2377268,1919,Carl Spitteler,male,1845-04-24,Europe,Switzerland,1924-12-29,Europe,Switzerland
Literature,1800000,3843964,1985,Claude Simon,male,1913-10-10,Africa,Madagascar,2005-07-06,Europe,France
Literature,880000,2889667,1980,Czeslaw Milosz,male,1911-06-30,Europe,Lithuania,2004-08-14,Europe,Poland
Literature,7500000,9572839,1997,Dario Fo,male,1926-03-24,Europe,Italy,2016-10-13,Europe,Italy
Literature,6500000,9184250,1992,Derek Walcott,male,1930-01-23,North America,Saint Lucia,2017-03-17,North America,Saint Lucia
Literature,10000000,11301989,2007,Doris Lessing,female,1919-10-22,Asia,Iran,2013-11-17,Europe,United Kingdom
Literature,10000000,11762861,2004,Elfriede Jelinek,female,1946-10-20,Europe,Austria,,,
Literature,1000000,2929688,1981,Elias Canetti,male,1905-07-25,Europe,Bulgaria,1994-08-14,Europe,Switzerland
Literature,173206,5238085,1931,Erik Axel Karlfeldt,male,1864-07-20,Europe,Sweden,1931-04-08,Europe,Sweden
Literature,181647,2640218,1954,Ernest Hemingway,male,1899-07-21,North America,USA,1961-07-02,North America,USA
Literature,159850,4913422,1936,Eugene O'Neill,male,1888-10-16,North America,USA,1953-11-27,North America,USA
Literature,630000,3404179,1975,Eugenio Montale,male,1896-10-12,Europe,Italy,1981-09-12,Europe,Italy
Literature,550000,3263449,1974,Eyvind Johnson,male,1900-07-29,Europe,Sweden,1976-08-25,Europe,Sweden
Literature,171135,2546652,1952,François Mauriac,male,1885-10-11,Europe,France,1970-09-01,Europe,France
Literature,148822,4227898,1939,Frans Eemil Sillanpää,male,1888-09-16,Europe,Finland,1964-06-03,Europe,Finland
Literature,140859,7767960,1904,Frédéric Mistral,male,1830-09-08,Europe,France,1914-03-25,Europe,France
Literature,1150000,3102518,1982,Gabriel García Márquez,male,1927-03-06,South America,Colombia,2014-04-17,North America,Mexico
Literature,121333,2499993,1945,Gabriela Mistral,female,1889-04-07,South America,Chile,1957-01-10,North America,USA
Literature,9000000,11333109,2000,Gao Xingjian,male,1940-01-04,Asia,China,,,
Literature,118165,3211005,1925,George Bernard Shaw,male,1856-07-26,Europe,Ireland,1950-11-02,Europe,United Kingdom
Literature,140476,6753654,1912,Gerhart Hauptmann,male,1862-11-15,Europe,Poland,1946-06-06,Europe,Poland
Literature,265000,2839286,1963,Giorgos Seferis,male,1900-03-13,Asia,Turkey,1971-09-20,Europe,Greece
Literature,138536,7421571,1906,Giosuè Carducci,male,1835-07-27,Europe,Italy,1907-02-16,Europe,Italy
Literature,116960,3273134,1926,Grazia Deledda,female,1871-09-27,Europe,Italy,1936-08-15,Europe,Italy
Literature,7900000,10049186,1999,Günter Grass,male,1927-10-16,Europe,Poland,2015-04-13,Europe,Germany
Literature,190214,2681588,1955,Halldór Laxness,male,1902-04-23,Europe,Iceland,1998-02-08,Europe,Iceland
Literature,10000000,11711430,2005,Harold Pinter,male,1930-10-10,Europe,United Kingdom,2008-12-24,Europe,United Kingdom
Literature,550000,3263449,1974,Harry Martinson,male,1904-05-06,Europe,Sweden,1978-02-11,Europe,Sweden
Literature,480000,3345725,1972,Heinrich Böll,male,1917-12-21,Europe,Germany,1985-07-16,Europe,Germany
Literature,126501,3593778,1927,Henri Bergson,male,1859-10-18,Europe,France,1941-01-04,Europe,France
Literature,133823,3920596,1917,Henrik Pontoppidan,male,1857-07-24,Europe,Denmark,1943-08-21,Europe,Denmark
Literature,138089,7615202,1905,Henryk Sienkiewicz,male,1846-05-05,Europe,Poland,1916-11-15,Europe,Switzerland
Literature,121524,2503929,1946,Hermann Hesse,male,1877-07-02,Europe,Germany,1962-08-09,Europe,Switzerland
Literature,10000000,10958504,2009,Herta Müller,female,1953-08-17,Europe,Romania,,,
Literature,10000000,12034660,2002,Imre Kertész,male,1929-11-09,Europe,Hungary,2016-03-31,Europe,Hungary
