State,Year,Population,Property: Burglary,Property: Larceny,Property: Motor,Violent: Assault,Violent: Murder,Violent: Rape,Violent: Robbery
Alabama,2019,4903185,26079,92477,12577,18679,358,2068,3941
Alaska,2019,731545,3563,15114,2617,4360,69,1088,826
Arizona,2019,7278717,28699,130788,18151,22704,365,3662,6410
Arkansas,2019,3017804,18095,60735,7420,13513,242,2331,1557
California,2019,39512223,152555,626802,141757,105541,1690,14799,52301
Colorado,2019,5758736,20064,107012,22113,14185,218,3872,3663
Connecticut,2019,3565287,6441,38457,5964,3742,104,771,1929
Delaware,2019,973764,2968,17359,1604,2967,48,310,790
District of Columbia,2019,705749,1843,26645,2333,4179,166,345,2713
Florida,2019,21477737,63396,358402,39048,55475,1122,8456,16217
Georgia,2019,10617423,39506,188967,23776,24633,654,2922,7961
Hawaii,2019,1415872,5340,29634,5254,2098,48,765,1131
Idaho,2019,1787065,3927,16295,1571,3001,35,809,155
Illinois,2019,12671821,34433,180776,18775,32187,832,6078,12464
Indiana,2019,6732219,21795,97176,13723,16783,377,2475,5331
Iowa,2019,3155070,11710,37847,5142,6323,60,1164,863
Kansas,2019,2913314,9984,50165,7279,9154,105,1416,1293
Kentucky,2019,4467673,15443,59130,10196,5747,221,1572,2161
Louisiana,2019,4648794,26918,109359,10716,18695,544,2273,4025
Maine,2019,1344212,2350,13667,726,824,20,516,188
Maryland,2019,6045680,16862,89780,11259,15798,542,1913,9203
Massachusetts,2019,6892503,12341,62844,6132,16609,152,2204,3613
Michigan,2019,9986857,28572,111980,17744,30545,556,7235,5350
Minnesota,2019,5639632,15927,90092,11217,7618,117,2448,3149
Mississippi,2019,2976149,18660,46300,5747,5493,332,747,1700
Missouri,2019,6137428,26414,114460,21072,21936,568,2917,4959
Montana,2019,1068778,2887,18176,2377,3472,27,624,205
Nebraska,2019,1934408,4745,29719,4985,3731,45,1253,792
Nevada,2019,3080156,15510,44755,11260,9620,143,2161,3286
New Hampshire,2019,1359711,1717,13832,893,1138,33,590,313
New Jersey,2019,8882190,16399,91902,10336,10852,262,1531,5730
New Mexico,2019,2096829,14610,41702,8957,13640,181,1288,2341
New York,2019,19453561,27600,226851,12704,44555,558,6583,18068
North Carolina,2019,10488084,54447,174728,18061,27517,632,3247,7599
North Dakota,2019,762062,2608,10666,1792,1529,24,437,179
Ohio,2019,11689100,43894,177725,18672,19154,538,5731,8846
Oklahoma,2019,3956971,26577,72632,13378,12183,266,2268,2369
Oregon,2019,4217737,14724,85261,15185,7825,116,1778,2276
Pennsylvania,2019,12801989,23354,143921,12390,24465,669,4351,9743
Rhode Island,2019,1059361,2321,12580,1358,1408,25,491,418
South Carolina,2019,5148714,27461,108953,14975,20105,464,2460,3294
South Dakota,2019,884659,2646,11265,1756,2676,17,642,195
Tennessee,2019,6829174,29869,132104,19180,31186,498,2813,6150
Texas,2019,28995881,113902,501813,77489,76253,1409,14824,28988
United States,2019,328239523,1117696,5086096,721885,821182,16425,139815,267988
Utah,2019,3205958,8871,53937,6738,4534,72,1822,1125
Vermont,2019,623989,1275,7315,298,902,11,278,71
Virginia,2019,8535519,13900,116044,10269,10987,426,2816,3524
Washington,2019,7614893,34540,145282,24402,13700,198,3332,5147
West Virginia,2019,1792147,5891,20066,2419,4464,78,754,378
Wisconsin,2019,5822434,12667,65620,7385,11643,175,2261,2991
Wyoming,2019,578759,1396,6984,713,854,13,324,67
